	job	company	sex	residence	blood_group	ssn	name	birthdate	race
918	Designer, blown glass/stained glass	Clark and Sons	M	"569 Flores Pass Suite 719
Port Linda, MT 05237"	AB+	382-63-6308	Trevor Rivera	05/23/2002, 00:00:00	Black
919	Radiographer, diagnostic	Parker-Miller	M	"USCGC Huff
FPO AP 46690"	B-	874-68-8877	Brian Bell	04 Jun 1909	Black
920	Systems analyst	Lutz, Brown and Willis	M	"4405 Ellison Mill
Clarkshire, KS 80334"	B+	481-51-7679	Robert Thompson	1983-08-12	black
921	Air broker	Li-Hale	M	"9150 Leah Harbor Suite 436
North Masonberg, TX 93424"	B+	769-54-0505	William Bates	27 Mar 1980	White
922	Transport planner	Cruz, Schaefer and Crawford	F	"666 Robert Cliff
South Michael, ME 89083"	A+	039-15-5219	Tiffany Smith	1971/11/01	white
923	Financial manager	Johnson-Watson	F	"339 Mendoza River Apt. 894
New Heathermouth, DE 68878"	B+	115-84-6926	Shawna Martin	1954/08/07	White
924	Dietitian	Olson, Brown and Clark	F	"USNS Smith
FPO AP 78726"	A-	538-41-4214	Amanda Powers	2000/01/18	White
925	Financial trader	Schroeder Inc	F	"8719 Jackson Parks
Anthonyside, NE 34150"	AB+	853-28-5659	Susan Walker	1955/12/15	Asian
926	Lexicographer	Neal Inc	F	"834 Rachel Radial
Port Harry, MD 02962"	A+	240-79-3554	Patricia Williamson	11/19/1929, 00:00:00	White
927	Environmental health practitioner	Ortega LLC	F	"4000 Leach Courts Apt. 891
New Amber, NH 19150"	A-	185-44-9704	Sandy Hess	10/28/1928, 00:00:00	White
928	Diplomatic Services operational officer	Aguirre, Perkins and Smith	M	"PSC 4932, Box 5903
APO AA 51166"	AB-	761-63-0490	Richard Mullins	2007-01-25	Black
929	Insurance claims handler	Anderson PLC	F	"9943 Hernandez Island
Lake Sarahhaven, WV 39304"	A-	272-03-0410	Sarah Kelley	18 May 1953	Black
930	Community development worker	James Ltd	M	"USNS Thompson
FPO AE 02389"	A-	161-83-4395	Michael Jones	1923-05-21	Black
931	Engineer, electronics	Gardner PLC	F	"174 Patricia Ville Suite 969
West Barbara, KS 87871"	B-	355-15-1991	Kimberly Blankenship	1994/12/04	Black
932	Building surveyor	Ramirez-Davis	M	"PSC 8310, Box 1043
APO AA 69472"	B+	532-09-7575	Noah Jackson	11/15/1936, 00:00:00	Asian
933	Clinical scientist, histocompatibility and immunogenetics	Ramirez, Hamilton and Walton	F	"Unit 0550 Box 6059
DPO AA 29888"	A-	798-61-4729	Laura Walker	05/06/1984, 00:00:00	Black
934	Engineer, control and instrumentation	Hammond, Dominguez and Ramirez	M	"832 Khan Tunnel Apt. 490
East Lisashire, IN 27767"	B-	007-77-2762	Ryan Weaver	2005-04-23	White
935	Materials engineer	Sawyer-Shaw	M	"74708 Danielle Estate Apt. 446
Port Parkerhaven, NY 95103"	AB-	205-19-7955	Jonathan Garcia	1916/03/13	White
936	Hospital doctor	Campbell and Sons	F	"43800 Jason Walk
East Timothyfort, NM 65772"	AB-	351-23-0207	Rhonda Maxwell	05/14/2013, 00:00:00	White
937	Educational psychologist	Wyatt and Sons	M	"59596 Cook Harbor
Larsonburgh, DE 54642"	AB+	667-25-2233	Tyler Cruz	1905-10-06	White
938	Retail buyer	Ellis-Holmes	F	"382 Yolanda Knolls Apt. 339
Boonechester, WV 72522"	A+	889-80-9081	Christina Rogers	1973/03/17	White
939	Theatre director	White Inc	M	"18267 Turner Bypass
Joelfort, SC 60314"	O+	888-26-7701	Gabriel Blair	1936/05/19	White
940	Systems developer	Cooper, Foster and Clark	M	"4330 Alexander Pike Suite 222
East Richard, FL 40676"	B-	252-26-3301	James Johnston	1924-04-29	White
941	Physiological scientist	Barton-Lewis	F	"345 Bill Row
Longside, ID 63023"	B-	368-75-7468	Linda Pierce	1969-12-22	White
942	Geologist, wellsite	Lopez, Richardson and Miller	F	"04590 Alvarado Trace
East Dustin, AR 76090"	AB+	864-66-5797	Lindsey Hardy	1911-02-27	Black
943	Theatre stage manager	Carter-Moore	M	"7767 Davis Club
North Lisa, FL 07293"	O-	799-21-4969	Dr. Mark Levy	1950/09/04	Black
944	TEFL teacher	Lowery LLC	F	"01121 Steve Lock
Lake Jasontown, KS 86947"	B-	851-09-6930	Tamara Adams	06 Sep 2007	White
945	Production assistant, television	Harrison-Schneider	F	"682 Nicole Parkway Apt. 395
West Karenmouth, AR 65351"	O-	559-78-1795	Wendy Turner	11/30/1975, 00:00:00	White
946	Dispensing optician	Gomez, Woodward and Montoya	F	"802 George Overpass
Alyssafurt, VA 55651"	O-	098-41-4389	Kayla Nicholson	1925/05/09	Black
947	Chemist, analytical	Brown, Jennings and Montgomery	F	"30700 Elizabeth Wall
Beckertown, PA 79823"	AB-	057-95-7585	Jo Jenkins	21 Aug 1972	Black
948	Television production assistant	Matthews-Briggs	M	"448 Brown Ramp
North Chadville, AR 99915"	O-	244-59-1125	Corey Andrews	2005-04-23	Asian
949	Multimedia specialist	Jenkins Inc	F	"226 Kayla Knoll
Lake Beckyton, FL 50193"	A-	495-90-1784	Nichole Murphy	2017/05/08	White
950	Secondary school teacher	Roberts-Gonzalez	F	"55958 David Extension
Port Keith, TN 11499"	O+	770-88-5603	Jennifer White	1914/03/17	White
951	Immunologist	Douglas-Fritz	M	"75019 Garza Knoll
Richardschester, WV 22401"	B-	527-98-6062	Caleb Clark	1991-12-27	White
952	Clinical cytogeneticist	Vazquez, Hernandez and Kramer	F	"38937 Moore Brook Suite 418
Carrview, WY 65085"	O-	849-25-2500	Melissa Morgan	2011-05-09	Asian
953	Retail manager	Black, Ramirez and Bradley	M	"951 Jeffrey Neck Apt. 075
Johnsonchester, MO 09043"	AB-	637-98-4483	Marvin James	1983-05-20	Black
954	Retail merchandiser	Herrera-Evans	F	"84142 Anderson Course Suite 851
Lopezfort, MO 08795"	B-	509-59-7004	Elizabeth Gray	1907-10-12	Black
955	Physiological scientist	Campbell, Taylor and Hernandez	F	"845 Myers Lake
Wadeport, AZ 27433"	O-	180-05-2763	Alicia Perez	18 Jul 2000	White
956	Education officer, environmental	Anderson PLC	M	"PSC 8200, Box 6223
APO AP 80284"	AB+	694-60-6216	Samuel Rogers	1941/05/17	White
957	Market researcher	Jackson, Mack and Owens	M	"25755 Rodriguez Rue Apt. 377
Johnsonmouth, ME 24544"	AB+	114-92-0333	Jeffrey Dawson	10/24/1956, 00:00:00	Indian
958	Airline pilot	Jacobson PLC	M	"739 Carroll Flat
Huynhside, OK 41330"	AB+	277-64-4371	Maurice Sanchez	06/21/1994, 00:00:00	Asian
959	Engineering geologist	Santiago, Lewis and Martin	M	"150 Jones Road
South Tammychester, WV 09691"	O+	018-30-2140	Joseph Kelly	2012-07-01	Black
960	Environmental manager	Cowan-Contreras	M	"267 Kyle Fort
South Kathyside, NY 31568"	A-	139-91-0325	Mark Butler	1952/10/23	White
961	Horticulturist, commercial	Barnes-Newton	M	"80716 Sarah Well
Lake Donna, NY 59684"	O+	066-91-8867	Justin Clay	1977-12-24	Asian
962	Statistician	Wheeler Group	F	"Unit 2797 Box 0445
DPO AE 76528"	AB+	133-56-4811	Amanda Jenkins	09/19/1956, 00:00:00	White
963	Nurse, children's	Rose-Bush	M	"5109 Sullivan Creek Apt. 335
Lake Lisaview, NE 92691"	AB+	126-04-8787	Jesse Stevenson	12/09/2009, 00:00:00	White
964	Arts administrator	Camacho-Williams	M	"7613 Gutierrez Locks Apt. 325
Lewisfurt, MO 70681"	AB-	617-04-6439	Derek Hill	1954/08/21	Black
965	Lecturer, higher education	Walker PLC	F	"5210 Williams Harbor
Davidview, ME 43586"	B-	868-51-1355	Vickie Merritt	05 Oct 2009	Black
966	Secondary school teacher	Gilmore-Hendrix	M	"60758 Duncan Dale Suite 551
Mallorystad, OK 90067"	O+	841-82-9542	Derrick Freeman	1996/07/13	Indian
967	Curator	Rojas LLC	F	"347 Jill Mount Apt. 391
Port Morgan, WI 17872"	AB-	661-38-3224	Catherine Bishop	2020-01-17	Asian
968	Engineer, site	Suarez, Hopkins and Johnson	F	"PSC 4342, Box 3384
APO AE 24077"	A-	394-12-9833	Kelly Gamble	1984/06/28	White
969	Human resources officer	Abbott-Warren	M	"42976 Lloyd Walk
Bryanstad, WI 13322"	A-	021-91-9382	Thomas Bates	1920-04-07	White
970	Data scientist	Owens, Hansen and Hamilton	M	"75157 Ingram Meadow Suite 797
Rebeccaland, ME 54386"	O+	663-85-5703	Daniel Lewis	1993/08/24	Black
971	Tourist information centre manager	Fischer-Galloway	F	"3961 Teresa Roads Suite 130
South Meganchester, CT 07918"	A-	304-24-9994	Christine Castillo	12/08/1943, 00:00:00	Black
972	Ranger/warden	Serrano, Brennan and White	M	"8952 Melissa Flats
New Ruben, NH 87227"	A+	450-59-2547	Kyle Tran	13 May 1976	Black
973	Engineer, broadcasting (operations)	Ball, Riley and Suarez	F	"324 Aaron Highway Apt. 512
Jessicaside, WY 24438"	AB-	481-99-4093	Angela Moore	2006/03/25	Black
974	Nurse, children's	Adams LLC	M	"PSC 4547, Box 5679
APO AA 42619"	B+	339-29-4321	Roger Reed	1909-11-24	Asian
975	Research officer, political party	Coffey, Lam and Huber	M	"08186 Duran Spurs Apt. 986
Port Steven, IL 29146"	O-	717-90-1362	Curtis Richardson	2003-09-22	Asian
976	Accountant, chartered public finance	Mcdaniel-Ross	F	"68034 Dawn Loop
South Johnny, NV 11623"	A+	350-14-0278	Krystal Lopez	02 Apr 1987	Asian
977	Field seismologist	Day LLC	M	"206 George Locks
Floresberg, LA 93327"	AB+	475-52-6255	Dr. Richard Roberts	24 Jun 1935	Black
978	Electrical engineer	Williams, Hanson and Randall	M	"90102 Marcus Crescent
Lake Peter, MT 39214"	A+	574-84-4297	Ryan Gilmore	1991/09/01	White
979	Air broker	Harper-Bell	F	"26198 Natalie Drives
Georgeshire, LA 59835"	B-	396-60-3661	Mrs. Gwendolyn Freeman	1991-09-08	White
980	Research scientist (maths)	Ward PLC	F	"07699 Levine Harbors Apt. 155
Kellyview, NM 50885"	O+	349-32-0350	Barbara Roberts	1924/04/01	Black
981	Ambulance person	Ponce, Lynch and Hughes	M	"1109 Theresa Shoals
Lake Patricia, TX 85548"	O-	170-18-5301	Paul Wilson	2002/03/09	Hawaiian
982	Education officer, museum	Wheeler LLC	F	"7521 Davis Parkways Apt. 295
West Melissa, AR 96863"	B+	732-29-2970	Jennifer Cook	1913/09/23	White
983	Osteopath	Jensen LLC	F	"7807 Laura Row Suite 377
South Williamborough, CA 07376"	A-	594-99-9439	Stephanie Clark	28 Jan 1985	Asian
984	Database administrator	Carter, Ferguson and George	M	"4063 Boyle Estates
Port Claudiafort, CA 30638"	B-	657-45-3313	Robert Calhoun	11/19/1915, 00:00:00	Black
985	Chartered legal executive (England and Wales)	Owens PLC	M	"918 Stephanie Street Apt. 147
Port Robertview, ID 24248"	AB-	585-83-5888	Shaun Brown	1971-10-18	White
986	Trade union research officer	Howell Ltd	F	"PSC 7607, Box 2640
APO AA 68413"	O+	537-69-0772	Jessica Bass	01/23/1964, 00:00:00	White
987	Insurance account manager	Walsh Ltd	F	"97046 Moreno Throughway Suite 048
Matthewsberg, ID 60192"	AB+	087-70-9548	Ann Harris	20 Feb 1924	White
988	Recycling officer	Patterson, Ramirez and Tyler	M	"81130 Dorothy Throughway Suite 653
Williamshire, KY 08054"	A+	877-30-0250	Troy Yoder	1995/12/05	White
989	Theme park manager	Garrison-Riley	M	"7055 Ward Port Suite 376
South Mark, VT 75141"	AB+	165-75-2429	Christopher Eaton	1919-05-15	Indian
990	Astronomer	Martin Ltd	F	"1870 Alyssa Prairie Apt. 805
Kimland, DC 60769"	A+	409-31-5556	Jennifer Lewis	02/28/1968, 00:00:00	Black
991	Retail merchandiser	Blair-Vaughn	M	"81304 Carter Gardens
Nicholasfort, IL 40708"	O+	548-25-6298	Jonathan Myers	1909/07/29	White
992	Investment banker, operational	Macias-Fernandez	M	"1007 Collins Mews
Amandachester, IL 80274"	O-	826-77-4804	Robert Newman	1937-04-12	White
993	Insurance claims handler	Dean, Harrell and Rodriguez	M	"6663 Heather Neck
Scottland, CA 68451"	O-	611-20-4417	Dennis Kramer	1936-03-01	Black
994	Engineer, maintenance (IT)	Joseph Inc	F	"PSC 7078, Box 5522
APO AA 86190"	B-	119-26-1897	Laura Thompson	29 Mar 1925	black
995	Cartographer	Hill Ltd	F	"48791 Erickson Station
Ashleystad, AR 63588"	O+	336-74-4329	Cynthia Johnson	03 Jun 1935	White
996	Special educational needs teacher	Castro, Mahoney and Jones	M	"Unit 2478 Box 8653
DPO AA 18682"	AB-	063-47-4466	Christopher Anderson	1941-03-22	black
997	Barista	Anderson, Gray and Garner	M	"543 Jason Pines
South Keith, OH 72337"	A+	419-85-7315	James Cantu	1909-12-14	white
998	Armed forces logistics/support/administrative officer	Wolfe-Brown	F	"9575 Aaron Islands
Moorehaven, HI 04232"	B-	854-97-3461	Karen Green	08/21/2003, 00:00:00	White
999	Exhibitions officer, museum/gallery	Velazquez, Hoffman and Nichols	M	"6932 Katelyn Station Suite 382
East Kathryn, AZ 30430"	B-	593-79-9664	Jason Nelson	1985-07-12	White
1000	Lexicographer	Bowers, Lewis and Campbell	F	"569 Mosley Point Apt. 678
Edwardstad, NC 00881"	B+	253-28-0911	Kristin Owens	1997-10-29	Asian
1001	Scientist, research (life sciences)	Williams, Vega and Johnson	M	"91317 Jones Pines
North Sandra, CT 72061"	O+	092-84-4173	Michael Skinner	1980/02/11	Black
1002	Engineer, materials	Turner-Bennett	M	"02113 King Mills
West Morgan, NV 99234"	AB+	883-78-6887	Paul Perkins	2007/08/18	white
1003	Podiatrist	Foster, Brown and Holder	F	"8512 Ashley Meadows Suite 999
North Kathrynfurt, HI 30163"	AB+	661-65-0368	Faith Campbell	1911/03/16	White
1004	Media buyer	Oconnor Ltd	M	"0801 Mary Springs Suite 681
Alanbury, DC 76574"	A+	650-35-8363	Matthew White	1989-06-20	White
1005	Materials engineer	Riddle, Lopez and Stone	M	"572 Ballard Field
Laurenton, IL 37066"	A+	897-10-2627	Stephen Boyd	1962-01-03	White
1006	English as a second language teacher	Davis Inc	F	"732 Carla Burg Apt. 901
Juliamouth, MT 55094"	B+	166-06-1051	April Clark	1922-08-21	White
1007	Engineer, technical sales	Alexander LLC	F	"PSC 5568, Box 3555
APO AP 63500"	B+	166-84-0855	Michelle Steele	1920/10/23	Asian
1008	Tour manager	English Ltd	F	"878 Shelly Park
Sparkschester, LA 45151"	AB-	087-62-4193	Victoria Cooper	04/27/1979, 00:00:00	White
1009	Food technologist	Perry-Randall	F	"9670 Ponce Island
New Alejandra, AZ 86159"	B-	822-85-7877	Tina Rivera	1958-01-24	White
1010	Psychotherapist	Oconnor, Houston and White	F	"5665 Dalton Valleys
New David, CO 15888"	A+	260-22-5744	Jessica Miller	1910/11/17	black
1011	Television production assistant	Santana, Johnson and Brown	F	"29180 Patterson Route
Port Darren, AK 06448"	A-	266-08-7470	Connie Frank	10/15/1926, 00:00:00	White
1012	Mudlogger	Chen-Rodriguez	F	"1013 Crystal Courts
Richardside, PA 91192"	O+	252-86-9273	Connie Harris	1999-07-31	Asian
1013	Sound technician, broadcasting/film/video	Burgess, Decker and Olson	M	"239 Veronica Courts Apt. 846
Port Carolynhaven, OR 60461"	A+	705-25-1727	David Lee	12/20/2000, 00:00:00	White
1014	Armed forces technical officer	Pena-Nelson	M	"USNS Moore
FPO AA 82042"	B+	385-55-6381	Angel Patterson	1999/07/15	White
1015	Engineer, automotive	Camacho-Mendoza	M	"123 Daniel Row
Susanbury, IA 18243"	AB-	629-40-8299	Lance Morton	2001-03-13	White
1016	Air traffic controller	Jackson, White and Winters	F	"846 Matthew Camp
South Bettybury, MN 15053"	B-	536-27-0962	Brittney Taylor	12 May 1950	White
1017	Horticulturist, amenity	Lynch-Acevedo	F	"Unit 7552 Box 5550
DPO AP 78883"	B+	610-37-7620	Sandra Johnson	2018/05/30	White
1018	Sub	Meyer PLC	F	"0477 Price Parkways Suite 052
Lake Kevin, HI 30231"	AB+	028-90-4130	Yolanda Bonilla	1959-11-11	White
1019	Furniture designer	Sutton Inc	F	"4871 Macias Spurs Suite 945
West Jesustown, NC 56892"	B-	356-41-8221	Jennifer Mcmillan	1927/05/21	White
1020	Visual merchandiser	Garrett PLC	F	"8607 Mejia Mews
New Tiffanyburgh, SC 78915"	O+	522-34-8667	Nicole Johnson	1967/09/28	White
1021	Engineer, structural	Crawford, Sanchez and Larson	M	"Unit 8108 Box 9547
DPO AP 75827"	AB-	616-64-4328	Raymond Dunn	1970/04/29	White
1022	Scientist, audiological	Bishop-Rowland	F	"347 Sandra Knoll Suite 372
West Amberside, AK 59462"	A-	493-37-9459	Carrie Newman	1967-05-24	White
1023	Homeopath	Zhang, Armstrong and Koch	M	"69807 Thompson Springs Apt. 165
East Neilton, LA 40182"	AB+	596-41-2461	Eric Romero	1974/07/11	White
1024	Sub	Williams-Williams	F	"43486 Brown Trace
Lake Kristin, LA 94568"	A+	642-62-5622	Desiree Jones	1948-06-05	Black
1025	Structural engineer	Martinez and Sons	M	"PSC 4456, Box 6107
APO AA 80907"	A+	219-39-4654	Jeffrey Morgan	09/20/1963, 00:00:00	White
1026	Interior and spatial designer	Wiggins Ltd	M	"4641 Mark Island
Jamesstad, NY 11297"	AB-	762-49-0588	Alexander Stuart	2017-06-30	White
1027	Fashion designer	Zimmerman-Wallace	F	"392 Derek Club
West Brian, SC 52433"	A+	662-81-3456	Mrs. Maria Hopkins	07/26/1971, 00:00:00	Black
1028	Location manager	Wiley, Morton and Lin	M	"6504 Alyssa Village
Toddburgh, SC 23848"	A-	181-69-6186	Devon Hampton	02/15/2008, 00:00:00	White
1029	Financial risk analyst	King-Mendoza	M	"275 Williams Summit Suite 378
Howardland, WV 48559"	B-	399-87-0909	Timothy Bishop	08/29/1968, 00:00:00	Asian
1030	Senior tax professional/tax inspector	James, Butler and Hale	M	"789 Woodard Estate
Port Nicholasfurt, TN 83045"	AB+	769-41-0564	Jonathan Miller	1942/10/17	White
1031	Geoscientist	Simmons LLC	F	"PSC 4880, Box 6176
APO AP 35694"	O+	755-48-7939	Elaine Hunter	1940/05/19	White
1032	Industrial/product designer	Shea, Schneider and Castillo	M	"2911 Kelsey Alley
Mooreview, NY 36028"	B-	084-31-2312	Kelly Boyer	1950-04-21	White
1033	Telecommunications researcher	Meyers-Cole	M	"00754 Perry Flats Apt. 388
North Jason, ME 84320"	A+	040-10-7623	Caleb Gonzalez	1917-08-20	White
1034	Surveyor, building	Perry Ltd	M	"350 Erika Overpass Suite 480
West Josephberg, RI 14868"	O+	176-57-1986	Bruce Norris	25 Sep 1982	White
1035	Race relations officer	Rice Ltd	F	"06911 Warren Forks Apt. 468
West Jeffrey, WV 61650"	O+	337-88-8433	Kimberly Armstrong	1969/12/15	White
1036	Engineer, mining	Miller, Evans and Matthews	M	"38019 Laura Lakes
East Sharon, IA 28374"	AB+	637-53-7395	Gregory Freeman	1947-12-09	black
1037	Charity officer	Mitchell Ltd	M	"64599 Melissa Spurs
Smithview, IA 76718"	A+	729-18-8052	David Ross	1999/03/31	black
1038	Sub	Martinez-Hoffman	M	"641 Fernandez Fork
Andrewshire, IA 77236"	B+	654-98-3350	Charles Bowers	1971-10-27	White
1039	Engineer, agricultural	Reed Ltd	M	"5582 Natalie Parks
West Brenda, ND 11272"	AB-	157-89-3628	Robert Campos	1952/01/19	Asian
1040	Research scientist (physical sciences)	Wheeler-Johnson	F	"2793 Hawkins Court
Michaelmouth, OK 86517"	B+	130-39-2682	Jennifer Reyes	05/31/1919, 00:00:00	Black
1041	Podiatrist	Acosta-White	F	"32485 Howard Row
Lake Jacquelineville, MO 11766"	AB-	492-16-3222	Amanda Aguilar	1993-09-12	White
1042	Civil Service fast streamer	Grant-Young	M	"8115 Jones Drives Apt. 074
Mathewview, MS 37061"	O-	380-05-0334	Benjamin Joseph	1985/09/12	Indian
1043	Producer, radio	Moran-Porter	M	"766 Le Well
Mathewburgh, IL 13230"	B-	415-14-7260	Robert Harris	1984/06/19	White
1044	Probation officer	Pratt-Patton	F	"414 Whitehead Wall Apt. 914
Lowemouth, ME 45252"	O-	237-94-0053	Bonnie Russell	13 Dec 1981	Black
1045	Artist	Andrade-Nixon	F	"7634 Smith Heights
North Williamfort, DC 78226"	AB+	687-15-4346	Mrs. Jasmine Lee MD	2011-03-04	White
1046	Surgeon	Johnson PLC	M	"214 Mark Plains Apt. 765
Nashburgh, WY 25960"	O-	673-80-9117	Ryan Hogan	16 May 1956	Black
1047	Civil engineer, consulting	Mahoney Ltd	F	"USCGC Jones
FPO AA 18169"	B+	331-19-3015	Lisa Montgomery	1985/12/19	Asian
1048	Radiographer, therapeutic	Underwood-Webb	M	"665 Derek Terrace
New Mathewville, NH 23489"	O-	274-47-2377	Nicholas Higgins	1941/08/29	Asian
1049	Health and safety adviser	Bryant-Kane	M	"76544 Casey Ford Apt. 781
East Ianchester, CA 33546"	AB-	195-17-2366	Marcus Adams	23 Jul 1974	Black
1050	Artist	Webb-Bolton	M	"33596 Brooke Grove Apt. 045
East Jeffrey, AK 70759"	AB+	716-65-2645	Matthew Brown	13 Jan 1954	Asian
1051	Fast food restaurant manager	Woods, Miller and Potter	F	"65439 Huffman Spur
North Donald, WY 15553"	B+	761-24-0700	Emily Johnson	26 Oct 1927	White
1052	Hospital doctor	Griffith-Stout	M	"57247 Ramsey Meadow
Colonside, LA 45700"	O-	647-99-2526	Michael Gibson	1948/08/03	White
1053	Rural practice surveyor	Bean Inc	M	"452 Jose Alley Apt. 864
North Paul, ND 89309"	O-	139-79-8521	Robert Newton	1958-01-26	Indian
1054	Bonds trader	Hamilton and Sons	F	"8973 Maurice Island Suite 372
Sotoville, MD 97428"	AB-	763-91-8946	Dr. Katherine Brown DVM	1963/08/07	White
1055	Market researcher	Davis, Ellis and Alexander	M	"939 Jordan Landing Suite 658
West Bethton, WI 50020"	B-	488-51-3187	Craig Miller	20 Apr 1953	black
1056	Chartered loss adjuster	Bell-Barr	M	"923 April Road Apt. 556
West Marymouth, FL 31339"	A+	616-05-2142	Jeffrey Johnson	08/06/1909, 00:00:00	Asian
1057	Health physicist	Cameron PLC	F	"645 Brandt Crossroad
Coxhaven, OH 87291"	AB+	598-81-7095	Mary Moreno	28 Mar 1996	Asian
1058	Public house manager	Johnson, Henderson and Camacho	M	"9617 Johnson Courts
Port Jenna, ND 96483"	O-	661-52-9747	Kevin Johnson	1948-12-04	Asian
1059	Scientist, research (life sciences)	Williams-Blevins	F	"27920 Bowen Inlet Suite 563
Lake Meghanview, MA 26937"	AB+	281-23-2179	Patricia Wong	19 Mar 1918	White
1060	Paramedic	Robinson Inc	F	"0524 Bell Road Apt. 771
Michaelview, WY 04270"	A+	551-93-5596	Amy Harris	1991/05/12	Black
1061	Designer, television/film set	Lewis and Sons	M	"77697 Shelley Key
Feliciafort, CA 48075"	B-	572-57-3743	Thomas Wagner	1916-03-08	White
1062	Firefighter	Smith, Kim and Long	F	"PSC 0562, Box 2885
APO AP 27256"	O-	393-09-1316	Angie Ellis	06/22/1992, 00:00:00	Black
1063	Curator	Baker Ltd	F	"5183 White Pike Apt. 241
North Jose, MD 64442"	AB+	461-54-0337	Brandy Lucero	1976/09/09	Black
1064	Insurance risk surveyor	Coleman, Johnson and Palmer	F	"Unit 2931 Box 6466
DPO AA 23819"	AB-	419-59-4333	Mrs. Virginia Stewart	2008/05/30	White
1065	Plant breeder/geneticist	Lawrence-Martinez	M	"8208 Travis Vista Suite 540
Marvinmouth, MO 02338"	A+	331-42-7270	Kenneth Martin	2010-08-01	Black
